,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,num_related,has_related,has_special_ticket
0,0,3,male,,0,0,7.8875,S,0,False,False
1,1,3,female,16.0,0,0,7.75,Q,0,False,False
2,1,1,female,59.0,2,0,51.4792,S,2,True,False
3,0,1,male,55.0,1,0,59.4,C,1,True,True
4,0,1,male,36.0,1,0,78.85,S,1,True,False
5,1,1,female,27.0,1,2,52.0,S,3,True,True
6,0,3,male,40.0,1,6,46.9,S,7,True,True
7,0,3,male,25.0,1,0,17.8,S,1,True,False
8,0,3,male,47.0,0,0,7.25,S,0,False,True
9,0,2,male,22.0,0,0,10.5,S,0,False,True
10,0,3,male,36.0,0,0,7.8958,S,0,False,False
11,1,1,male,4.0,0,2,81.8583,S,2,True,False
12,1,1,female,,1,0,89.1042,C,1,True,False
13,1,1,male,38.0,1,0,90.0,S,1,True,False
14,1,1,female,22.0,1,0,66.6,S,1,True,False
15,0,3,male,36.0,0,0,7.4958,S,0,False,False
16,0,3,male,22.0,0,0,7.8958,S,0,False,False
17,0,2,male,35.0,0,0,12.35,Q,0,False,False
18,1,3,female,26.0,0,0,7.925,S,0,False,True
19,0,3,male,24.0,0,0,7.05,S,0,False,True
20,1,1,female,23.0,3,2,263.0,S,5,True,False
21,1,3,female,,0,2,22.3583,C,2,True,False
22,0,3,female,18.0,2,0,18.0,S,2,True,False
23,1,1,female,,1,0,146.5208,C,1,True,True
24,0,3,female,21.0,1,0,9.825,S,1,True,False
25,1,2,female,22.0,1,2,41.5792,C,3,True,True
26,0,1,male,54.0,0,0,51.8625,S,0,False,False
27,0,3,male,,2,0,21.6792,C,2,True,False
28,0,2,female,26.0,1,1,26.0,S,2,True,False
29,0,1,male,28.5,0,0,27.7208,C,0,False,True
30,0,1,male,57.0,1,0,146.5208,C,1,True,True
31,0,3,male,,0,0,8.05,S,0,False,False
32,0,3,male,,1,2,23.45,S,3,True,True
33,0,3,male,45.0,0,0,6.975,S,0,False,False
34,0,3,female,9.0,4,2,31.275,S,6,True,False
35,1,3,female,27.0,0,2,11.1333,S,2,True,False
36,0,3,male,,0,0,7.25,S,0,False,True
37,0,2,male,66.0,0,0,10.5,S,0,False,True
38,0,3,female,22.0,0,0,9.8375,S,0,False,False
39,0,3,male,24.0,0,0,7.8542,S,0,False,False
40,0,3,male,,1,0,19.9667,S,1,True,False
41,0,1,male,57.0,1,1,164.8667,S,2,True,False
42,0,3,male,21.0,0,0,7.8208,Q,0,False,False
43,0,1,male,13.0,2,2,262.375,C,4,True,True
44,0,2,male,19.0,0,0,10.5,S,0,False,False
45,1,1,female,48.0,1,3,262.375,C,4,True,True
46,0,3,male,,0,0,7.775,S,0,False,False
47,0,2,male,36.0,0,0,10.5,S,0,False,True
48,1,1,female,31.0,0,0,134.5,C,0,False,False
49,1,3,female,9.0,1,1,15.2458,C,2,True,False
50,0,3,female,,8,2,69.55,S,10,True,True
51,0,3,male,35.0,0,0,7.05,S,0,False,True
52,0,2,male,30.0,1,0,21.0,S,1,True,True
53,1,2,female,,0,0,33.0,S,0,False,False
54,0,3,male,48.0,0,0,7.8542,S,0,False,False
55,1,2,female,3.0,1,2,41.5792,C,3,True,True
56,1,1,female,48.0,1,0,39.6,C,1,True,False
57,1,1,male,34.0,0,0,26.55,S,0,False,False
58,0,3,female,21.0,0,0,7.75,Q,0,False,False
59,0,1,female,25.0,1,2,151.55,S,3,True,False
60,1,3,male,21.0,0,0,7.7958,S,0,False,False
61,0,2,male,23.0,1,0,10.5,S,1,True,False
62,0,3,male,,0,0,24.15,Q,0,False,False
63,1,3,female,22.0,0,0,7.75,Q,0,False,False
64,1,3,female,18.0,0,0,7.4958,S,0,False,False
65,1,2,female,30.0,0,0,13.0,S,0,False,False
66,0,2,male,23.0,0,0,13.0,S,0,False,False
67,0,1,male,43.0,1,0,27.7208,C,1,True,False
68,0,1,male,42.0,0,0,26.55,S,0,False,False
69,0,3,male,,0,0,7.75,Q,0,False,False
70,0,3,male,,0,0,7.8958,S,0,False,False
71,1,2,male,1.0,2,1,39.0,S,3,True,False
72,1,3,female,22.0,1,0,13.9,S,1,True,False
73,0,3,male,26.0,0,0,7.8958,S,0,False,False
74,0,2,male,25.0,0,0,31.5,S,0,False,True
75,0,3,male,40.0,0,0,7.225,C,0,False,False
76,0,3,male,30.5,0,0,8.05,S,0,False,False
77,1,2,male,42.0,0,0,13.0,S,0,False,False
78,1,2,female,50.0,0,0,10.5,S,0,False,True
79,1,1,female,39.0,0,0,108.9,C,0,False,True
80,1,2,female,0.92,1,2,27.75,S,3,True,True
81,0,3,male,19.0,0,0,7.8958,S,0,False,False
82,1,3,female,,0,0,15.5,Q,0,False,False
83,1,2,male,0.67,1,1,14.5,S,2,True,False
84,0,3,male,74.0,0,0,7.775,S,0,False,False
85,0,3,male,28.0,0,0,9.5,S,0,False,False
86,0,1,male,46.0,0,0,26.0,S,0,False,False
87,0,1,male,60.0,0,0,26.55,S,0,False,False
88,0,2,male,14.0,0,0,65.0,S,0,False,False
89,1,2,female,60.0,1,0,26.0,S,1,True,False
90,1,3,female,33.0,3,0,15.85,S,3,True,False
91,0,3,male,21.0,0,0,7.775,S,0,False,False
92,0,3,male,,0,0,8.05,S,0,False,True
93,0,2,male,36.0,0,0,12.875,C,0,False,True
94,0,3,male,4.0,3,2,27.9,S,5,True,False
95,0,2,male,18.0,0,0,11.5,S,0,False,False
96,1,3,female,,0,0,8.1125,S,0,False,False
97,1,2,female,30.0,0,0,13.0,S,0,False,False
98,0,2,male,17.0,0,0,73.5,S,0,False,True
99,0,2,male,,0,0,15.0458,C,0,False,False
100,1,3,male,20.0,1,0,7.925,S,1,True,True
101,0,3,male,36.0,0,0,9.5,S,0,False,False
102,1,1,female,27.0,1,1,247.5208,C,2,True,True
103,0,1,male,47.0,0,0,25.5875,S,0,False,False
104,0,3,male,36.0,1,0,15.55,S,1,True,False
105,0,2,male,34.0,1,0,26.0,S,1,True,False
106,0,1,male,47.0,1,0,227.525,C,1,True,True
107,0,1,female,50.0,0,0,28.7125,C,0,False,True
108,0,1,male,51.0,0,1,61.3792,C,1,True,True
109,1,2,female,29.0,0,0,10.5,S,0,False,True
110,1,3,male,32.0,0,0,7.925,S,0,False,True
111,0,3,male,,8,2,69.55,S,10,True,True
112,0,2,male,40.0,0,0,13.0,S,0,False,False
113,1,3,female,,2,0,23.25,Q,2,True,False
114,0,2,male,25.0,0,0,13.0,S,0,False,False
115,0,3,male,,0,0,7.75,Q,0,False,False
116,0,2,male,50.0,1,0,26.0,S,1,True,True
117,1,2,female,34.0,0,0,10.5,S,0,False,True
118,0,1,male,65.0,0,0,26.55,S,0,False,False
119,0,3,male,49.0,0,0,0.0,S,0,False,True
120,0,3,male,,0,0,7.8958,C,0,False,False
121,0,3,female,28.0,1,1,14.4,S,2,True,False
122,0,1,male,6.0,0,2,134.5,C,2,True,False
123,1,1,female,30.0,0,0,106.425,C,0,False,True
124,1,1,female,44.0,0,0,27.7208,C,0,False,True
125,1,3,male,29.0,0,0,9.5,S,0,False,False
126,0,3,female,24.0,0,0,8.85,S,0,False,False
127,0,3,male,33.0,0,0,8.6625,C,0,False,False
128,0,3,male,30.0,0,0,7.225,C,0,False,False
129,1,1,female,55.0,0,0,27.7208,C,0,False,False
130,0,3,male,,0,0,7.2292,C,0,False,False
131,1,2,female,14.0,1,0,30.0708,C,1,True,False
132,1,3,male,20.0,0,0,7.2292,C,0,False,False
133,0,2,male,47.0,0,0,15.0,S,0,False,False
134,0,3,male,,1,2,23.45,S,3,True,True
135,1,3,male,32.0,0,0,8.05,S,0,False,True
136,0,1,male,47.0,0,0,38.5,S,0,False,False
137,0,3,male,22.0,0,0,7.25,S,0,False,True
138,1,2,female,17.0,0,0,12.0,C,0,False,True
139,1,3,female,1.0,0,2,15.7417,C,2,True,False
140,0,3,male,18.0,2,2,34.375,S,4,True,True
141,1,1,male,35.0,0,0,26.55,C,0,False,False
142,0,3,male,21.0,0,0,7.8958,S,0,False,False
143,0,3,male,,8,2,69.55,S,10,True,True
144,0,3,female,,0,2,7.75,Q,2,True,False
145,0,3,male,,1,0,15.5,Q,1,True,False
146,1,1,male,56.0,0,0,35.5,C,0,False,False
147,1,1,female,60.0,1,4,263.0,S,5,True,False
148,1,1,female,58.0,0,0,146.5208,C,0,False,True
149,0,3,female,41.0,0,2,20.2125,S,2,True,False
150,1,3,female,17.0,0,0,7.7333,Q,0,False,True
151,0,2,male,21.0,0,0,13.0,S,0,False,False
152,0,2,male,60.0,1,1,39.0,S,2,True,False
153,0,3,male,34.0,1,1,14.4,S,2,True,False
154,0,3,male,21.0,0,0,8.4333,S,0,False,False
155,1,1,female,,0,0,27.7208,C,0,False,False
156,0,3,male,,1,0,7.75,Q,1,True,False
157,1,3,male,3.0,1,1,15.9,S,2,True,True
158,0,3,male,22.0,0,0,8.05,S,0,False,False
159,0,3,male,,0,0,7.225,C,0,False,False
160,0,2,male,24.0,0,0,13.0,S,0,False,False
161,1,1,female,41.0,0,0,134.5,C,0,False,False
162,0,3,male,,0,0,7.225,C,0,False,False
163,0,2,male,54.0,0,0,14.0,S,0,False,False
164,0,1,male,33.0,0,0,5.0,S,0,False,False
165,1,3,female,,0,0,14.5,S,0,False,False
166,1,2,female,17.0,0,0,10.5,S,0,False,True
167,1,2,female,36.0,1,0,26.0,S,1,True,False
168,0,3,female,25.0,0,0,7.775,S,0,False,False
169,0,1,male,28.0,1,0,82.1708,C,1,True,True
170,0,1,male,45.0,0,0,26.55,S,0,False,False
171,0,1,male,30.0,1,0,57.75,C,1,True,False
172,1,1,female,28.0,3,2,263.0,S,5,True,False
173,0,3,male,24.0,0,0,7.25,Q,0,False,False
174,1,1,female,33.0,0,0,86.5,S,0,False,False
175,0,3,male,30.0,0,0,7.25,S,0,False,True
176,1,2,female,36.0,0,0,13.0,S,0,False,False
177,0,3,male,19.0,0,0,7.8958,S,0,False,False
178,1,2,female,24.0,2,1,27.0,S,3,True,False
179,1,2,female,24.0,1,2,65.0,S,3,True,False
180,0,3,male,44.0,0,0,8.05,S,0,False,False
181,1,2,male,,0,0,13.8625,C,0,False,True
182,1,3,female,26.0,1,1,22.025,S,2,True,False
183,1,3,female,,0,0,7.75,Q,0,False,False
184,0,1,male,36.0,0,0,40.125,C,0,False,False
185,0,3,male,39.0,0,1,13.4167,C,1,True,False
186,0,3,female,16.0,5,2,46.9,S,7,True,True
187,1,1,female,18.0,1,0,53.1,S,1,True,False
188,0,1,male,,0,0,30.6958,C,0,False,True
189,1,2,female,19.0,1,0,26.0,S,1,True,False
190,0,3,male,,0,0,7.55,S,0,False,True
191,0,3,male,18.5,0,0,7.2292,C,0,False,False
192,0,3,male,23.0,1,0,13.9,S,1,True,False
193,1,3,male,12.0,1,0,11.2417,C,1,True,False
194,1,3,female,15.0,0,0,7.225,C,0,False,False
195,0,3,female,45.0,1,4,27.9,S,5,True,False
196,1,1,female,51.0,1,0,77.9583,S,1,True,False
197,1,3,female,38.0,4,2,7.775,S,6,True,False
198,1,1,female,21.0,0,0,77.9583,S,0,False,False
199,1,1,male,26.0,0,0,30.0,C,0,False,False
200,0,3,male,,0,0,7.2292,C,0,False,False
201,1,3,female,21.0,0,0,8.6625,S,0,False,False
202,1,3,male,27.0,0,0,8.6625,S,0,False,False
203,0,3,male,18.0,1,1,20.2125,S,2,True,False
204,0,3,male,,0,0,7.7333,Q,0,False,False
205,0,1,male,46.0,1,0,61.175,S,1,True,True
206,0,3,male,,0,0,8.05,S,0,False,True
207,0,3,male,20.5,0,0,7.25,S,0,False,True
208,1,2,female,28.0,0,0,12.65,S,0,False,False
209,1,3,female,,2,0,23.25,Q,2,True,False
210,0,1,male,54.0,0,1,77.2875,S,1,True,False
211,1,1,female,58.0,0,0,26.55,S,0,False,False
212,1,3,female,23.0,0,0,8.05,S,0,False,True
213,0,3,male,28.5,0,0,7.2292,C,0,False,False
214,0,1,male,,0,0,26.0,S,0,False,False
215,0,3,male,32.0,0,0,7.5792,S,0,False,False
216,1,1,male,27.0,0,0,30.5,S,0,False,False
217,0,2,male,25.0,0,0,13.0,S,0,False,False
218,0,2,male,26.0,0,0,13.0,S,0,False,False
219,0,3,male,,0,0,7.8958,S,0,False,False
220,1,2,female,33.0,0,2,26.0,S,2,True,False
221,0,3,male,24.0,0,0,9.325,S,0,False,False
222,0,3,male,18.0,0,0,8.3,S,0,False,False
223,0,3,male,34.0,0,0,6.4958,S,0,False,False
224,1,2,female,34.0,1,1,32.5,S,2,True,False
225,0,1,male,46.0,0,0,79.2,C,0,False,True
226,0,1,male,42.0,1,0,52.0,S,1,True,False
227,0,1,male,24.0,0,1,247.5208,C,1,True,True
228,0,3,male,,0,0,7.2292,C,0,False,False
229,0,3,male,32.0,0,0,8.05,S,0,False,True
230,0,3,male,29.0,0,0,9.4833,S,0,False,False
231,0,3,male,21.0,0,0,7.25,S,0,False,True
232,0,3,male,,0,0,7.75,Q,0,False,False
233,1,1,female,,1,0,51.8625,S,1,True,False
234,1,1,male,60.0,1,1,79.2,C,2,True,False
235,0,3,male,27.0,0,0,7.8958,S,0,False,False
236,1,1,female,63.0,1,0,221.7792,S,1,True,True
237,0,2,male,42.0,0,0,13.0,S,0,False,False
238,0,3,female,,1,0,14.4583,C,1,True,False
239,0,2,male,21.0,0,0,11.5,S,0,False,False
240,1,1,female,,1,0,133.65,S,1,True,True
241,0,1,male,37.0,1,1,83.1583,C,2,True,True
242,1,2,female,24.0,0,2,14.5,S,2,True,False
243,0,3,male,,0,0,15.5,Q,0,False,False
244,1,3,female,,0,0,7.7875,Q,0,False,False
245,0,3,male,28.5,0,0,16.1,S,0,False,False
246,0,3,male,25.0,0,0,7.65,S,0,False,False
247,0,3,female,30.5,0,0,7.75,Q,0,False,False
248,0,3,male,61.0,0,0,6.2375,S,0,False,False
249,1,1,female,39.0,1,1,83.1583,C,2,True,True
250,1,1,female,36.0,0,0,31.6792,C,0,False,True
251,0,3,female,,8,2,69.55,S,10,True,True
252,0,3,male,2.0,4,1,29.125,Q,5,True,False
253,0,2,male,23.0,0,0,10.5,S,0,False,True
254,0,3,male,,0,0,7.8958,S,0,False,False
255,1,3,female,0.75,2,1,19.2583,C,3,True,False
256,0,3,male,26.0,2,0,8.6625,S,2,True,False
257,1,1,female,24.0,0,0,49.5042,C,0,False,True
258,1,2,female,18.0,0,1,23.0,S,1,True,False
259,1,2,male,,0,0,13.0,S,0,False,False
260,1,3,female,36.0,0,2,15.9,S,2,True,True
261,0,3,male,,0,0,7.8958,S,0,False,False
262,1,3,female,20.0,0,0,7.8542,S,0,False,False
263,0,3,male,1.0,4,1,39.6875,S,5,True,False
264,1,3,female,24.0,1,0,15.85,S,1,True,True
265,0,3,male,,0,0,8.05,S,0,False,True
266,0,3,male,34.5,0,0,6.4375,C,0,False,False
267,0,3,male,55.5,0,0,8.05,S,0,False,True
268,0,2,male,25.0,0,0,10.5,S,0,False,True
269,0,3,male,26.0,0,0,7.775,S,0,False,False
270,0,2,male,32.0,0,0,13.0,S,0,False,False
271,1,3,female,,0,0,8.05,S,0,False,True
272,1,3,female,36.0,0,2,12.1833,S,2,True,False
273,0,3,male,38.5,0,0,7.25,S,0,False,True
274,0,3,male,16.0,2,0,18.0,S,2,True,False
275,1,2,female,29.0,1,0,26.0,S,1,True,False
276,0,3,male,6.0,3,1,21.075,S,4,True,False
277,1,1,female,16.0,0,1,39.4,S,1,True,True
278,1,3,male,,0,0,7.2292,C,0,False,False
279,1,2,female,31.0,1,1,26.25,S,2,True,True
280,0,3,male,5.0,4,2,31.3875,S,6,True,False
281,0,1,male,30.0,0,0,45.5,S,0,False,False
282,0,3,female,26.0,1,0,16.1,S,1,True,True
283,1,1,female,36.0,0,2,71.0,S,2,True,True
284,1,3,female,33.0,1,2,20.575,S,3,True,True
285,0,3,male,11.5,1,1,14.5,S,2,True,True
286,0,3,male,30.0,1,0,16.1,S,1,True,True
287,0,3,male,17.0,1,0,7.0542,S,1,True,False
288,1,1,female,50.0,0,1,247.5208,C,1,True,True
289,1,1,female,18.0,1,0,227.525,C,1,True,True
290,0,3,male,,0,0,7.2292,C,0,False,False
291,1,3,female,38.0,0,0,7.2292,C,0,False,False
292,0,3,female,23.0,0,0,7.925,S,0,False,True
293,1,2,female,30.0,0,0,12.35,Q,0,False,False
294,1,3,female,18.0,0,0,7.2292,C,0,False,False
295,1,2,female,18.0,0,2,13.0,S,2,True,False
296,1,1,female,22.0,0,0,151.55,S,0,False,False
297,0,1,male,40.0,0,0,0.0,S,0,False,False
298,0,3,male,32.5,0,0,9.5,S,0,False,False
299,0,2,male,34.0,1,0,26.0,S,1,True,False
300,0,1,male,50.0,0,0,26.0,S,0,False,False
301,0,3,male,,1,0,16.1,S,1,True,False
302,1,1,female,30.0,0,0,56.9292,C,0,False,True
303,1,2,female,31.0,0,0,21.0,S,0,False,True
304,1,2,female,29.0,1,0,26.0,S,1,True,True
305,0,3,male,29.0,0,0,7.925,S,0,False,True
306,0,1,male,49.0,1,1,110.8833,C,2,True,False
307,1,3,female,23.0,0,0,8.6625,S,0,False,False
308,0,2,male,52.0,0,0,13.5,S,0,False,False
309,0,1,male,31.0,0,0,50.4958,S,0,False,True
310,1,2,female,24.0,1,2,65.0,S,3,True,False
311,1,3,female,21.0,0,0,7.65,S,0,False,False
312,0,3,male,44.0,0,1,16.1,S,1,True,False
313,0,3,male,,0,0,8.05,S,0,False,True
314,0,2,male,21.0,1,0,11.5,S,1,True,False
315,0,3,male,33.0,0,0,7.8958,C,0,False,False
316,1,1,male,51.0,0,0,26.55,S,0,False,False
317,1,3,female,24.0,0,0,7.75,Q,0,False,False
318,1,1,female,55.0,0,0,135.6333,C,0,False,True
319,0,3,male,,0,0,8.05,S,0,False,True
320,1,1,female,19.0,0,0,30.0,S,0,False,False
321,0,3,male,36.0,0,0,0.0,S,0,False,True
322,0,3,female,48.0,1,3,34.375,S,4,True,True
323,1,2,female,7.0,0,2,26.25,S,2,True,True
324,1,1,male,27.0,1,0,53.1,S,1,True,False
325,0,2,male,27.0,0,0,26.0,S,0,False,False
326,0,1,male,,0,0,51.8625,S,0,False,False
327,0,3,male,43.0,0,0,8.05,S,0,False,True
328,0,3,male,21.0,0,0,7.225,C,0,False,False
329,1,3,female,,0,0,7.75,Q,0,False,False
330,0,2,male,38.0,1,0,21.0,S,1,True,False
331,1,1,female,48.0,0,0,25.9292,S,0,False,False
332,1,3,female,,1,0,15.5,Q,1,True,False
333,0,3,male,,8,2,69.55,S,10,True,True
334,0,3,male,,0,0,7.75,Q,0,False,False
335,0,3,male,,0,0,8.05,S,0,False,True
336,1,1,female,25.0,1,0,55.4417,C,1,True,False
337,1,2,female,8.0,1,1,26.0,S,2,True,False
338,0,2,male,19.0,0,0,10.5,S,0,False,False
339,1,2,female,5.0,1,2,27.75,S,3,True,True
340,0,3,male,25.0,1,0,7.775,S,1,True,False
341,0,3,male,42.0,0,0,7.65,S,0,False,False
342,1,1,female,56.0,0,1,83.1583,C,1,True,False
343,1,1,female,76.0,1,0,78.85,S,1,True,False
344,1,1,female,32.0,0,0,76.2917,C,0,False,False
345,1,1,male,32.0,0,0,30.5,C,0,False,False
346,1,3,male,,0,0,7.75,Q,0,False,False
347,0,3,male,17.0,0,0,7.125,S,0,False,True
348,1,1,female,52.0,1,1,93.5,S,2,True,False
349,1,1,female,18.0,1,0,60.0,S,1,True,False
350,0,3,male,36.0,1,1,24.15,S,2,True,False
351,0,1,male,46.0,0,0,79.2,C,0,False,True
352,0,2,male,32.5,1,0,30.0708,C,1,True,False
353,1,2,male,19.0,0,0,10.5,S,0,False,True
354,0,2,male,36.0,1,2,27.75,S,3,True,True
355,1,3,female,16.0,1,1,8.5167,C,2,True,False
356,0,3,male,41.0,0,0,7.125,S,0,False,True
357,1,3,female,14.0,1,0,11.2417,C,1,True,False
358,0,2,male,23.0,0,0,15.0458,C,0,False,True
359,0,3,male,13.0,4,2,31.3875,S,6,True,False
360,1,2,female,28.0,1,0,26.0,S,1,True,False
361,0,3,male,21.0,0,0,8.05,S,0,False,True
362,0,3,male,,0,0,9.5,S,0,False,False
363,1,2,female,28.0,0,0,13.0,S,0,False,False
364,0,3,male,40.0,0,0,7.8958,S,0,False,False
365,1,2,female,24.0,2,3,18.75,S,5,True,False
366,1,3,female,,0,0,7.75,Q,0,False,False
367,0,3,male,,0,0,7.8958,S,0,False,False
368,0,3,male,28.0,0,0,8.05,S,0,False,False
369,0,3,male,18.0,0,0,7.75,S,0,False,False
370,0,1,male,61.0,0,0,32.3208,S,0,False,False
371,0,3,female,10.0,0,2,24.15,S,2,True,False
372,0,2,male,42.0,0,0,13.0,S,0,False,False
373,1,1,female,31.0,0,2,164.8667,S,2,True,False
374,1,3,female,38.0,1,5,31.3875,S,6,True,False
375,0,3,male,19.0,0,0,10.1708,S,0,False,False
376,1,3,female,,0,4,25.4667,S,4,True,False
377,1,1,female,48.0,1,1,79.2,C,2,True,False
378,0,2,male,30.0,0,0,13.0,S,0,False,False
379,0,3,male,9.0,5,2,46.9,S,7,True,True
380,1,1,female,15.0,0,1,211.3375,S,1,True,False
381,1,2,female,12.0,2,1,39.0,S,3,True,False
382,0,3,female,,3,1,25.4667,S,4,True,False
383,0,3,male,,0,0,7.25,S,0,False,True
384,0,2,male,29.0,1,0,27.7208,C,1,True,True
385,0,3,male,25.0,0,0,7.225,C,0,False,False
386,1,3,male,,0,0,56.4958,S,0,False,False
387,0,3,male,,0,0,7.8792,Q,0,False,False
388,1,3,male,26.0,0,0,56.4958,S,0,False,False
389,0,3,male,29.0,0,0,7.875,S,0,False,False
390,0,3,female,22.0,0,0,10.5167,S,0,False,False
391,1,3,female,,1,0,16.1,S,1,True,False
392,1,1,female,58.0,0,1,153.4625,S,1,True,True
393,1,1,female,30.0,0,0,86.5,S,0,False,False
394,0,3,female,17.0,0,0,14.4583,C,0,False,False
395,0,2,male,43.0,0,1,21.0,S,1,True,True
396,0,1,male,58.0,0,0,29.7,C,0,False,False
397,1,3,female,23.0,0,0,7.8542,S,0,False,False
398,1,2,female,24.0,1,1,37.0042,C,2,True,True
399,1,1,male,36.0,0,1,512.3292,C,1,True,True
400,0,1,male,55.0,0,0,50.0,S,0,False,False
401,0,1,male,24.0,1,0,60.0,S,1,True,False
402,1,3,male,,1,1,15.2458,C,2,True,False
403,0,3,male,19.0,0,0,7.65,S,0,False,False
404,1,2,female,42.0,0,0,13.0,S,0,False,False
405,1,1,female,55.0,2,0,25.7,S,2,True,False
406,0,1,male,49.0,0,0,26.0,S,0,False,False
407,0,2,male,54.0,0,0,26.0,S,0,False,False
408,0,3,male,18.0,0,0,7.7958,S,0,False,False
409,0,1,male,,0,0,0.0,S,0,False,False
410,0,2,male,30.0,0,0,13.0,S,0,False,False
411,1,2,male,3.0,1,1,26.0,S,2,True,False
412,0,1,male,31.0,0,0,28.5375,C,0,False,False
413,0,3,male,30.0,0,0,7.2292,C,0,False,False
414,0,2,male,37.0,1,0,26.0,S,1,True,True
415,0,1,male,61.0,1,3,262.375,C,4,True,True
416,1,2,female,32.5,0,0,13.0,S,0,False,False
417,0,3,male,24.0,0,0,8.05,S,0,False,False
418,1,2,female,54.0,1,3,23.0,S,4,True,False
419,1,3,female,22.0,0,0,8.9625,S,0,False,False
420,1,2,female,20.0,0,0,36.75,S,0,False,True
421,1,3,female,,0,0,7.2292,C,0,False,False
422,0,3,male,17.0,2,0,8.05,S,2,True,True
423,1,3,male,25.0,1,0,7.775,S,1,True,False
424,0,3,male,32.0,0,0,22.525,S,0,False,True
425,1,3,male,0.42,0,1,8.5167,C,1,True,False
426,0,2,male,31.0,1,1,37.0042,C,2,True,True
427,0,2,male,28.0,0,0,13.5,S,0,False,False
428,0,2,male,28.0,0,0,10.5,S,0,False,True
429,0,1,male,44.0,2,0,90.0,Q,2,True,False
430,0,3,male,,0,0,7.25,S,0,False,False
431,0,2,male,,0,0,0.0,S,0,False,False
432,1,1,female,,0,1,55.0,S,1,True,False
433,1,3,female,24.0,0,3,19.2583,C,3,True,False
434,1,3,female,,0,0,7.7208,Q,0,False,False
435,0,3,female,31.0,0,0,7.8542,S,0,False,False
436,0,1,male,45.0,0,0,35.5,S,0,False,False
